date,open,close,high,low,volume,money
2022-06-10,16.7,16.82,16.9,16.68,86873355.0,1458368450.0
2022-06-13,16.71,16.45,16.81,16.37,72921209.0,1203431575.0
2022-06-14,16.34,16.71,16.72,16.31,75600949.0,1254703210.0
2022-06-15,16.82,17.27,17.67,16.71,166929065.0,2889284909.0
2022-06-16,17.28,17.12,17.57,17.04,80622567.0,1386885797.0
2022-06-17,17.0,17.09,17.18,16.99,57124137.0,976310275.0
2022-06-20,17.26,17.5,17.6,17.16,98070669.0,1708865820.0
2022-06-21,17.5,17.5,17.89,17.34,93999362.0,1659792899.0
2022-06-22,17.49,17.23,17.59,17.21,50279254.0,871400206.0
2022-06-23,17.23,17.49,17.59,17.16,61818825.0,1076076969.0
2022-06-24,17.55,17.27,17.65,17.18,84254633.0,1456480474.0
2022-06-27,17.29,17.43,17.57,17.21,74417448.0,1293838452.0
2022-06-28,17.42,17.37,17.61,17.23,64955035.0,1124695929.0
2022-06-29,17.51,18.48,18.64,17.44,208988665.0,3817994569.0
2022-06-30,18.27,19.3,19.35,18.24,203707596.0,3864567512.0
2022-07-01,19.29,19.21,19.39,19.08,80531966.0,1549359849.0
2022-07-04,19.05,19.03,19.16,18.7,81772437.0,1547522161.0
2022-07-05,19.07,18.87,19.28,18.78,72988749.0,1383375486.0
2022-07-06,18.83,18.33,18.97,18.18,91256600.0,1678162082.0
2022-07-07,18.31,18.07,18.53,17.93,77657849.0,1410857874.0
2022-07-08,18.07,18.15,18.35,17.99,49640599.0,902203637.0
2022-07-11,18.03,17.87,18.19,17.8,54186645.0,973515467.0
2022-07-12,17.85,17.92,18.11,17.83,51100524.0,918400979.0
2022-07-13,17.94,17.85,18.51,17.7,100932765.0,1827019763.0
2022-07-14,17.74,17.32,17.81,17.23,89050930.0,1552591053.0
2022-07-15,17.26,16.59,17.3,16.57,132487520.0,2225338842.0
2022-07-18,16.7,16.86,16.96,16.43,80991107.0,1356003249.0
2022-07-19,16.89,16.76,16.94,16.59,60100537.0,1004243045.0
2022-07-20,16.84,16.72,16.86,16.65,53826456.0,900272704.0
2022-07-21,16.62,16.28,16.69,16.21,104660266.0,1707259918.0
2022-07-22,16.29,16.37,16.47,16.11,63897286.0,1040473262.0
2022-07-25,16.38,16.48,16.74,16.34,71697375.0,1185932181.0
2022-07-26,16.48,17.0,17.13,16.22,122909148.0,2067176290.0
2022-07-27,16.85,16.72,16.9,16.6,63405662.0,1061623024.0
2022-07-28,16.7,16.62,16.79,16.5,66607048.0,1108737327.0
2022-07-29,16.54,16.21,16.65,16.18,85521739.0,1395216272.0
2022-08-01,16.14,15.89,16.15,15.86,77737245.0,1239707852.0
2022-08-02,15.77,15.56,15.77,15.37,72944138.0,1134409156.0
2022-08-03,15.55,15.12,15.7,15.1,86551880.0,1329390214.0
2022-08-04,15.14,15.28,15.37,15.09,41242752.0,628260391.0
2022-08-05,15.28,15.5,15.51,15.19,40052141.0,615628062.0
2022-08-08,15.54,15.32,15.82,15.25,62891651.0,970887803.0
2022-08-09,15.31,15.28,15.4,15.18,44335380.0,676529159.0
2022-08-10,15.21,15.16,15.27,15.09,45333386.0,687091533.0
2022-08-11,15.2,15.33,15.35,15.15,66067421.0,1007490073.0
2022-08-12,15.26,15.42,15.44,15.17,56741812.0,870359062.0
2022-08-15,15.35,15.34,15.56,15.3,54290073.0,835979776.0
2022-08-16,15.44,15.57,15.78,15.42,84383959.0,1316120153.0
